segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
139,8820.0,8880.0,60.0,3,422.8586734693878,422.8586734693878,1,2,1600.0,1600.0,960.5999999999999,57636.0,0.0,0,0,0
140,8880.0,9000.0,120.0,3,412.2011179228273,412.2011179228273,1,2,1600.0,1600.0,960.5999999999999,115272.0,0.0,0,0,0
141,9000.0,9060.0,60.0,3,389.55339435545386,389.55339435545386,1,2,1600.0,1600.0,960.5999999999999,57636.0,0.0,0,0,0
142,9060.0,9120.0,60.0,3,377.50598484848484,377.50598484848484,1,2,1600.0,1600.0,960.5999999999999,57636.0,0.0,0,0,0
143,9120.0,9240.0,120.0,4,495.9338266384778,495.9338266384778,1,2,1600.0,1600.0,1209.5,145140.0,0.0,0,0,0
144,9240.0,9300.0,60.0,4,465.00491205321015,465.00491205321015,1,2,1600.0,1600.0,1209.5,72570.0,0.0,0,0,0
145,9300.0,9360.0,60.0,5,574.4929075738125,574.4929075738125,1,2,1600.0,1600.0,1394.6,83676.0,0.0,0,0,0
146,9360.0,9420.0,60.0,5,556.5664948287007,556.5664948287007,1,2,1600.0,1600.0,1394.6,83676.0,0.0,0,0,0
147,9420.0,9480.0,60.0,5,537.8090427421548,537.8090427421548,1,2,1600.0,1600.0,1394.6,83676.0,0.0,0,0,0
148,9480.0,9540.0,60.0,5,518.1595901518502,518.1595901518502,1,2,1600.0,1600.0,1394.6,83676.0,0.0,0,0,0
149,9540.0,9600.0,60.0,5,497.5509167415092,497.5509167415092,1,2,1600.0,1600.0,1404.1,84246.0,0.0,0,0,0
150,9600.0,9660.0,60.0,5,475.54326028581346,475.54326028581346,1,2,1600.0,1600.0,1394.6,83676.0,0.0,0,0,0
151,9660.0,9720.0,60.0,5,452.7750751805739,452.7750751805739,1,2,1600.0,1600.0,1394.6,83676.0,0.0,0,0,0
152,9720.0,9780.0,60.0,6,570.898828654189,570.898828654189,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
153,9780.0,9840.0,60.0,6,544.3113258434687,544.3113258434687,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
154,9840.0,9900.0,60.0,6,516.2456460813316,516.2456460813316,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
155,9900.0,10020.0,120.0,7,601.2699328847734,601.2699328847734,1,2,1600.0,1600.0,1600.0,192000.0,0.0,0,0,0
156,10020.0,10080.0,60.0,6,549.2946189544919,549.2946189544919,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
157,10080.0,10140.0,60.0,6,522.2064137149113,522.2064137149113,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
158,10140.0,10260.0,120.0,6,493.5290491714528,493.5290491714528,1,2,1600.0,1600.0,1452.0,174240.0,0.0,0,0,0
159,10260.0,10320.0,60.0,5,444.20565795381805,444.20565795381805,1,2,1600.0,1600.0,1274.4,76464.0,0.0,0,0,0
160,10320.0,10380.0,60.0,6,532.1856836631151,532.1856836631151,1,2,1600.0,1600.0,1467.2,88032.0,0.0,0,0,0
161,10380.0,10500.0,120.0,6,511.1551822739233,511.1551822739233,1,2,1600.0,1600.0,1392.65,167118.0,0.0,0,0,0
162,10500.0,10560.0,60.0,6,569.535231856023,569.535231856023,1,2,1600.0,1600.0,1347.1999999999998,80832.0,0.0,0,0,0
163,10560.0,10620.0,60.0,6,553.7462398927889,553.7462398927889,1,2,1600.0,1600.0,1347.1999999999998,80832.0,0.0,0,0,0
164,10620.0,10740.0,120.0,6,537.2474780781878,537.2474780781878,1,2,1600.0,1600.0,1347.1999999999998,161664.0,0.0,0,0,0
165,10740.0,10800.0,60.0,6,501.9061607484789,501.9061607484789,1,2,1600.0,1600.0,1347.1999999999998,80832.0,0.0,0,0,0
166,10800.0,10860.0,60.0,6,482.9417985586431,482.9417985586431,1,2,1600.0,1600.0,1347.1999999999998,80832.0,0.0,0,0,0
167,10860.0,10920.0,60.0,6,463.02236696994765,463.02236696994765,1,2,1600.0,1600.0,1347.1999999999998,80832.0,0.0,0,0,0
168,10920.0,10980.0,60.0,7,528.0683333333334,528.0683333333334,1,2,1600.0,1600.0,1497.1,89826.0,0.0,0,0,0
169,10980.0,11040.0,60.0,7,505.1817376845578,505.1817376845578,1,2,1600.0,1600.0,1497.1,89826.0,0.0,0,0,0
170,11040.0,11100.0,60.0,7,481.0504969779031,481.0504969779031,1,2,1600.0,1600.0,1497.1,89826.0,0.0,0,0,0
171,11100.0,11160.0,60.0,8,581.5606421506674,581.5606421506674,1,2,1600.0,1600.0,1600.0,96000.0,0.0,0,0,0
172,11160.0,11280.0,120.0,8,555.4910201014491,555.4910201014491,1,2,1600.0,1600.0,1484.2,178104.0,0.0,0,0,0
173,11280.0,11340.0,60.0,7,514.7491809769617,514.7491809769617,1,2,1600.0,1600.0,1476.8,88608.0,0.0,0,0,0
174,11340.0,11400.0,60.0,7,493.15672337545084,493.15672337545084,1,2,1600.0,1600.0,1476.8,88608.0,0.0,0,0,0
175,11400.0,11520.0,120.0,7,470.394118503329,470.394118503329,1,2,1600.0,1600.0,1425.85,171102.0,0.0,0,0,0
176,11520.0,11580.0,60.0,7,535.9932506314218,535.9932506314218,1,2,1600.0,1600.0,1443.7,86622.0,0.0,0,0,0
177,11580.0,11640.0,60.0,7,519.046879342582,519.046879342582,1,2,1600.0,1600.0,1312.1,78726.0,0.0,0,0,0
178,11640.0,11700.0,60.0,6,505.4588319088319,505.4588319088319,1,2,1600.0,1600.0,1204.3,72258.0,0.0,0,0,0
